Station,DataCenter,Start,End,Site,Latitude,Longitude,Elevation
KRES,IRISDMC,2014-05-01,2016-12-31,KRES,47.758739,-122.29097,52
MA05,IRISDMC,2014-05-01,2016-12-31,MA05,46.754669,-122.226189,488
MB05,IRISDMC,2014-05-01,2016-12-31,MB05,46.620869,-122.281021,641
MB07,IRISDMC,2014-05-01,2016-12-31,MB07,46.623779,-122.042389,878
MC06,IRISDMC,2014-05-01,2016-12-31,MC06,46.552021,-122.157204,770
MC08,IRISDMC,2014-05-01,2016-12-31,MC08,46.553349,-121.963219,653
MD05,IRISDMC,2014-05-01,2016-12-31,MD05,46.523159,-122.278168,718
MD09,IRISDMC,2014-05-01,2016-12-31,MD09,46.50288,-121.706711,959
MD12,IRISDMC,2014-05-01,2016-12-31,MD12,46.47694,-121.220673,1496
ME02,IRISDMC,2014-05-01,2016-12-31,ME02,46.439159,-122.707336,158
ME03,IRISDMC,2014-05-01,2016-12-31,ME03,46.452068,-122.576469,310
ME04,IRISDMC,2014-05-01,2016-12-31,ME04,46.450611,-122.351936,730
ME06,IRISDMC,2014-05-01,2016-12-31,ME06,46.463291,-122.196968,643
ME08,IRISDMC,2014-05-01,2016-12-31,ME08,46.461948,-121.865639,598
MF05,IRISDMC,2014-05-01,2016-12-31,MF05,46.390369,-122.386757,727
MF07,IRISDMC,2014-05-01,2016-12-31,MF07,46.425629,-122.002274,515
MF09,IRISDMC,2014-05-01,2016-12-31,MF09,46.389938,-121.861,1216
MG02,IRISDMC,2014-05-01,2016-12-31,MG02,46.373749,-122.734871,162
MG03,IRISDMC,2014-05-01,2016-12-31,MG03,46.33807,-122.476189,638
MG05,IRISDMC,2014-05-01,2016-12-31,MG05,46.305882,-122.341927,1283
MG06,IRISDMC,2014-05-01,2016-12-31,MG06,46.35014,-122.217453,1408
MG07,IRISDMC,2014-05-01,2016-12-31,MG07,46.352852,-122.031013,1457
MG08,IRISDMC,2014-05-01,2016-12-31,MG08,46.34174,-121.928726,1547
MG10,IRISDMC,2014-05-01,2016-12-31,MG10,46.344719,-121.658089,893
MH01,IRISDMC,2014-05-01,2016-12-31,MH01,46.263901,-122.806267,197
MH03,IRISDMC,2014-05-01,2016-12-31,MH03,46.268421,-122.594116,373
MH04,IRISDMC,2014-05-01,2016-12-31,MH04,46.279461,-122.427071,920
MH07,IRISDMC,2014-05-01,2016-12-31,MH07,46.279812,-122.082024,1122
MH09,IRISDMC,2014-05-01,2016-12-31,MH09,46.297668,-121.801033,989
MH11,IRISDMC,2014-05-01,2016-12-31,MH11,46.27071,-121.578484,1447
MI02,IRISDMC,2014-05-01,2016-12-31,MI02,46.21624,-122.665916,349
MI04,IRISDMC,2014-05-01,2016-12-31,MI04,46.195938,-122.410149,918
MI05,IRISDMC,2014-05-01,2016-12-31,MI05,46.231098,-122.292122,1255
